categoria,m1,m2,m3,m4,m5,m6,m7
circle,0.169527,0.000232155,7.38899e-08,2.4814e-07,3.29258e-14,1.94296e-09,-6.69683e-15
circle,0.178547,0.00288204,3.58833e-08,1.44493e-07,9.90438e-15,7.6163e-09,-3.18671e-15
circle,0.172001,0.000218473,5.3338e-09,2.15886e-07,-6.33755e-15,-1.36125e-09,3.6746e-15
circle,0.169983,0.000802172,7.46869e-10,2.91063e-08,8.06536e-17,-7.62175e-10,-1.0914e-16
circle,0.17953,0.000175706,6.35621e-08,5.43926e-07,5.40431e-14,4.95078e-09,8.54867e-14
circle,0.179619,0.0021976,2.53144e-07,3.24693e-07,-7.70451e-14,-9.31712e-09,-5.22439e-14
circle,0.173499,0.00188194,2.44885e-07,5.33764e-08,5.78409e-15,2.19238e-09,1.94538e-15
circle,0.173238,0.000810832,6.04248e-08,2.53827e-07,-2.8729e-14,-6.79516e-09,1.27595e-14
circle,0.17415,0.000663039,2.2376e-07,3.19171e-08,-1.56721e-15,-8.109e-10,2.19526e-15
circle,0.17661,0.000137738,4.41826e-08,1.49403e-07,-1.14573e-14,1.6957e-09,-4.00918e-15
circle,0.178613,0.00352091,1.68179e-08,2.92063e-07,1.99885e-14,1.70381e-08,-4.40965e-15
circle,0.176283,0.0010484,3.06059e-07,5.83001e-07,-1.62216e-13,1.11153e-08,1.85293e-13
circle,0.17514,0.00242153,5.53371e-09,1.87914e-07,-5.14735e-15,9.05156e-09,-3.19753e-15
circle,0.168863,3.84768e-05,7.26607e-08,4.78834e-08,-2.76899e-15,-1.58022e-10,5.56735e-16
circle,0.177924,0.00296572,8.50173e-08,2.03548e-07,2.60156e-14,9.65303e-09,-6.33816e-15
circle,0.167297,1.70934e-05,3.02483e-08,7.76515e-09,-1.1861e-16,-3.90414e-12,-9.72692e-18
circle,0.171541,0.000903168,1.65307e-08,1.8659e-07,-4.78815e-15,-1.29595e-09,-9.19029e-15
circle,0.204747,0.0137051,9.13749e-08,2.89e-07,4.69088e-14,3.30111e-08,2.26483e-15
circle,0.171973,0.000307461,9.93633e-09,1.04076e-07,1.26704e-15,1.0575e-09,-3.09775e-15
circle,0.167638,1.4215e-05,2.58553e-09,1.35009e-08,6.67003e-17,6.74018e-12,4.37459e-17
circle,0.169405,0.000264428,1.11697e-07,6.74899e-08,-3.39748e-15,-1.04464e-09,-4.77429e-15
circle,0.169935,0.000164541,2.8769e-08,1.01219e-07,5.38434e-15,8.52819e-11,9.18017e-16
circle,0.170308,0.000806673,2.82831e-09,4.78719e-08,4.04534e-16,1.23687e-09,-3.8294e-16
circle,0.172451,0.00190821,4.99921e-09,1.7432e-09,-4.73767e-18,6.82503e-11,2.00895e-18
circle,0.180723,0.00246628,8.79909e-08,2.40411e-07,-2.52533e-14,-1.05639e-08,2.4185e-14
circle,0.180382,0.00152847,6.62577e-09,2.23692e-07,-6.1566e-15,-8.46471e-09,-6.0216e-15
circle,0.17221,0.000922508,3.35577e-07,7.18461e-07,-4.3097e-14,7.5762e-09,-3.50135e-13
circle,0.171411,0.000410477,6.65977e-08,4.15697e-08,-1.02212e-15,2.05141e-10,-1.93371e-15
circle,0.171831,0.000848358,1.55712e-07,2.58602e-07,2.64064e-14,3.14175e-09,4.46718e-14
circle,0.177958,0.00342182,9.54247e-09,2.3753e-09,-6.87142e-18,-5.20149e-11,-8.98151e-18
circle,0.178793,1.15833e-05,3.12464e-08,4.89871e-07,4.49904e-14,1.65161e-09,-4.06089e-14
circle,0.169507,4.21762e-05,1.92442e-08,8.72673e-08,-2.07995e-15,-5.59618e-10,2.90918e-15
circle,0.170703,0.000750915,2.45399e-09,1.30987e-09,-1.75402e-18,-2.99399e-11,1.56158e-18
circle,0.187257,0.00642698,6.47163e-08,7.33925e-07,1.02526e-13,4.97309e-08,1.2277e-13
circle,0.171318,0.00112713,6.54294e-09,1.15439e-08,-5.30621e-17,3.49834e-10,-8.51464e-17
circle,0.166658,0,0,0,0,0,0
circle,0.168816,4.22382e-06,2.28196e-08,8.18848e-08,-2.70967e-15,9.1233e-11,-2.27744e-15
