categoria,Z0_0_mag,Z0_0_phase,Z1_-1_mag,Z1_-1_phase,Z1_1_mag,Z1_1_phase,Z2_-2_mag,Z2_-2_phase,Z2_0_mag,Z2_0_phase,Z2_2_mag,Z2_2_phase,Z3_-3_mag,Z3_-3_phase,Z3_-1_mag,Z3_-1_phase,Z3_1_mag,Z3_1_phase,Z3_3_mag,Z3_3_phase,Z4_-4_mag,Z4_-4_phase,Z4_-2_mag,Z4_-2_phase,Z4_0_mag,Z4_0_phase,Z4_2_mag,Z4_2_phase,Z4_4_mag,Z4_4_phase
square,9978,0,37.5502,-2.06328,37.5502,2.06328,42.9593,-0.297247,43.747,3.14159,42.9593,0.297247,28.5215,-2.0138,27.8614,1.19596,27.8614,-1.19596,28.5215,2.0138,33.2317,-1.24713,48.6639,2.75529,32.1148,0,48.6639,-2.75529,33.2317,1.24713
square,3.34724e+284,3.14159,3.24991e+284,2.67795,3.24991e+284,-2.67795,3.15542e+284,2.2143,2.9636e+284,3.14159,3.15542e+284,-2.2143,3.06367e+284,1.75065,2.69119e+284,2.67795,2.69119e+284,-2.67795,3.06367e+284,-1.75065,2.9746e+284,1.287,2.43212e+284,2.2143,2.26229e+284,3.14159,2.43212e+284,-2.2143,2.9746e+284,-1.287
square,17028,0,70.0959,-0.194787,70.0959,0.194787,18.9025,-2.72471,57.3649,3.14159,18.9025,2.72471,18.7462,0.324203,37.1436,-2.75819,37.1436,2.75819,18.7462,-0.324203,38.5643,1.17806,39.8373,0.0108618,18.0538,0,39.8373,-0.0108618,38.5643,-1.17806
square,20665,0,240.34,-3.12688,240.34,3.12688,199.765,-0.0126017,701.524,3.14159,199.765,0.0126017,19.951,-1.05818,129.33,-0.883182,129.33,0.883182,19.951,1.05818,137.36,-1.82276,187.167,0.107183,322.421,0,187.167,-0.107183,137.36,1.82276
square,16093,0,51.3351,2.85947,51.3351,-2.85947,26.4475,-0.221076,37.9302,3.14159,26.4475,0.221076,29.1556,-0.254761,38.0396,0.11815,38.0396,-0.11815,29.1556,0.254761,6.89793,1.4016,13.9944,-0.116584,29.6237,3.14159,13.9944,0.116584,6.89793,-1.4016
square,14141,0,164.213,3.02216,164.213,-3.02216,18.807,-1.69099,155.323,3.14159,18.807,1.69099,81.6393,2.01001,194.197,-1.39088,194.197,1.39088,81.6393,-2.01001,7.50583,-0.401928,33.1267,2.49864,89.0325,0,33.1267,-2.49864,7.50583,0.401928
square,22561,0,419.957,2.24988,419.957,-2.24988,292.742,0.55578,273.358,0,292.742,-0.55578,77.3735,-0.981067,315.224,0.112662,315.224,-0.112662,77.3735,0.981067,137.218,-0.208856,83.5013,-1.28991,69.1249,0,83.5013,1.28991,137.218,0.208856
square,12861,0,29.1582,3.0925,29.1582,-3.0925,80.0955,0.245439,188.379,3.14159,80.0955,-0.245439,39.4578,2.44866,20.3513,2.25283,20.3513,-2.25283,39.4578,-2.44866,29.6827,-2.64449,34.4552,-0.228557,35.3339,0,34.4552,0.228557,29.6827,2.64449
square,17794,0,114.851,1.33267,114.851,-1.33267,165.967,-3.00467,334.42,3.14159,165.967,3.00467,94.6396,-2.97176,13.4859,3.08881,13.4859,-3.08881,94.6396,2.97176,48.9706,0.0785763,36.9516,3.05299,63.9553,0,36.9516,-3.05299,48.9706,-0.0785763
square,28106,0,132.98,-3.02895,132.98,3.02895,90.806,2.87724,162.08,3.14159,90.806,-2.87724,85.4957,-3.0273,83.182,-2.81407,83.182,2.81407,85.4957,3.0273,68.2445,-3.05973,74.9071,-2.96746,64.7884,3.14159,74.9071,2.96746,68.2445,3.05973
